After "Aftır" - Sonra
Agreed "Egriid" - Anlaşıldı, Kararlaştırıldı	
Answer "Ensvır" - Cevap	
Art "Art" - Sanat	
Abandon "Ebendın" - Terk Etmek, Bırakmak	
Ability "Ebiliti" - Hüner, Beceri, Kabiliyet	
Parade	Resmi̇ -Geçi̇t	Parayde
Participate	Başkalarıyla -Bi̇rli̇kte Çalışma, Oynama, Katılma	Partisipeyt
Passive	Pasi̇f, -Eylemsi̇z	Passiv
Pasta	Makarna -(Hamurdan Yapılan Şeyler)	Pasta
Paste	Beyaz -Tutkal, Macun, Hamur	Peyst
Pastime	Hoş -İyi̇ Zaman	Pesttaym
Path	Pati̇ka, -Küçük Yol	Pet
Patron	Destekleyi̇ci̇ -Ki̇şi̇, Devamlı Müşteri̇	Peytron
Pause	Mola, -Ara	Pauz
Paw	Hayvan -Pençesi̇	Pov
Peak	Zi̇rve, -Tepe	Piik
Peanut	Yer -Fıstığı	Pinat
Peasant	Çi̇ftçi̇, -Köylü Kesi̇m	Pezınt
Pedestrian	Yaya -Gi̇den	Pedestıriyın
Peel	Kabuk -Soymak (Meyve)	Piıl
Pension	Emekli̇ -Maaşı	Penşın
Peril	Büyük -Tehli̇ke	Peril
Period	Çağ, -Devi̇r/ Adet (Hali)	Periyod
Permanent	Devamlı, -Sürekli̇	Permınınt
Persist	Devam -Etmek	Persist
Petrol -Station	Benzi̇nci̇	Petrol Steyşın
Picket	Grev -Gözcüsü, Fabri̇ka Önünde Bekleme	Pikıt
Pillowcase	Yastık -Kılıfı	Pillovkeys
Pincers	Kerpeten, -Kıskaç (Yengeç vs.)	Pinsırs
Pinch	Çi̇mdi̇klemek, -Sıkıştırmak (Kapıya Vb.)	Pinç
Pity	Acımak -(What A Pity : Ne Yazık)	Piti
Platform	Platform/ -Yüksekçe Yer, Kürsü/ Peron	Pılatform
Playground	Oyun -Sahası	Pleygıround
Plum	Eri̇k/ -Bonbon şekeri	Pılam
Plumber	Musluk -Tami̇rci̇si̇	Pılambır
Pole	Kutup, -Di̇rek, Kazık	Poyl
Porter	Hamal, -Kapıcı	Portır
Postage	Posta -Ücreti̇	Postej
Precious	Kıymetli̇, -Çok Sevi̇len	Pıreşıs
Precisely	Kesi̇nli̇kle, -Tam Manasıyla	Pıreysli
Preserve	Korumak, -Konserve Yapmak	Perserv
Primarily	Ana -Olarak	Pıraymerili
Primary	Önceleri̇, -Eski̇den/ Ana, İlk Okul	Praymeri
Primitive	İlkel/ -Basi̇t/ Modası Geçmi̇ş	Pirimitiv
Promote	İlerleme, -Terfi̇ Etme, Tanıtım (Ürün vs.Satış İçin)	Pırmot
Propeller	İleri̇ye -Yürüten Şey, Vapur, Uçak Pervanesi̇	Pıropellır
Prosecute	Kavuşturmak, -Dava Açmak, Suçlamak	Proseküt
Provoke	Kışkırtmak, -Kızdırmaya Neden Olmak	Pırovok
Publicity	İlan, -Reklam, Yayımlama	Pablisiti
Pull -Up	Aracı Durdurmak	Pull Ap
Pulse	Nabız, -Vuruş	Puls
Punctual	Tam -Zamanında	Pankçual
Pure	Saf, -Temi̇z	Pür
Purse	Küçük -El Çantası	Pörs
Quality	Ni̇teli̇k, -Kali̇te	Kualiti
Quarrel	Tartışmak, -Atışmak	Kuarrıl
Question	Soru/ -Sormak	Kuesçın
Queue	Sıra, -Kuyruk	Kü
Quiet	Sessi̇z, -Saki̇n, Huzurlu	Kuayıt
Quite	Hemen -Hemen, Yaklaşık Olarak	Kuayıt
Quiz	Küçük -Test	Kuiz
Qualified	Ehli̇yetli̇, -Kali̇fi̇ye	Kualifayd
Quota	Kota, -Kontenjan	Kota
Quote	Aktarma, -Söyleme	Kuot
Race	Yarış, -Yarışmak	Reys
Railway	Tren -Yolu	Reyılvey
Raise	Yükseltmek, -Zam Yapmak, Yeti̇şti̇rmek	Reyz
Range	Aralık, -Alan	Renc
Rank	Sıra, -Rütbe, Sosyal Sınıf	Renk
Rapid	Çabuk, -Hızlı	Rapid
Rate	Hız, -Oran	Reyt
Rather	Epey, -Çok Deği̇l	Radır
Raw	Ham, -Çi̇ğ	Rav
Razor	Ustura, -Traş Maki̇nesi̇	Reyzır
Realize	Fark -Etmek	Realayz
Reason	Neden, -Akil	Risın
Receive	Almak, -Karşılamak	Resiiv
Recent	Yakın -Zamanda Olan	Risınt
Reception	Resmi̇ -Davet, Resepsi̇yon	Resepşın
Recommend	Tavsi̇ye -Etmek	Rekommend
Record	Kayıt, -Plak, Rekor	Rikord
Recover	İyi̇leşmek, -(Kaybedilen Bir Şeyi) Bulmak	Rikovır
Red	Kırmızı, -Kızıl	Red
Refugee	Tehli̇keden -Kaçan, Kazazede	Refyucii
Regard	Di̇kkat, -Düşünce, Bakmak, İnanmak	Regard
Regret	Üzgün -Olmak, Pi̇şman Olmak	Rigret
Regular	Düzenli̇, -Olağan	Regulır
Reject	Kabul -Etmemek	Rijeckt
Relation	İli̇şki̇, -Akrabalık	Rileyşın
Relationship	İli̇şki̇, -İleti̇şi̇m	Relaşınşip
Relative	Akraba, -Göreceli̇	Relativ
Relax	Rahatlamak, -Gevşemek	Relaks
Release	Serbest -Bırakmak, Gevşetmek	Reliis
Remain	Geri̇ye -Kalmak, Yeri̇nde Durmak	Rimeyn
Remark	Beli̇rtmek, -Açıklama	Rimark
Remarkable	Di̇kkate -Değer	Rimerkabıl
Remember	Unutmamak, -Anımsamak	Rimember
Repay	Geri̇ -Ödemek	Ripey
Replace	Yeni̇den -Yerleşti̇rmek	Repleys
Reply	Yanıtlamak, -Yanıt	Replay
Report	Rapor, -Rapor Etmek	Riport
Represent	Temsi̇l -Etmek	Ripresent
Request	Ri̇ca -Etmek, Ri̇ca	Rikuest
Reserve	Rezerv, -Rezervasyon Yaptırmak	Reserv
Resign	İsti̇fa -Etmek	Resayn
Resist	Karşı -Koymak	Resist
Respect	Saygı -Duymak	Rispekt
Rest	Geri̇ye -Kalan	Rest
Restaurant	Restoran, -Lokanta	Restorant
Retire	Emekli̇ -Olmak	Ritayır
Return	Geri̇ -Dönmek	Ritörn
Revenge	Öç -Almak, İnti̇kam	Rivenc
Ribbon	Kurdele, -Şeri̇t	Ribbın
Ride	Ata -Binmek, Bi̇si̇klete Bi̇nmek	Rayd
Ridiculous	Gülünç, -Saçma	Ridikulus
Right	Hak, -Doğru, Hakli,. Sağ Taraf	Rayt
Ring	Yüzük, -Halka	Ring
Ring	Çalmak -(Zil Çalması), Telefon Etmek	Ring
Ripe	Olgun, -Ham Deği̇l	Rayp
Roast	Rosto, -Fırında Pi̇şi̇rmek	Rost
Rob	Soygun -Yapmak	Rob
Rock	Kaya, -Sallanmak	Rak
Rope	Halat, -İp	Rop
Rose	Gül, -Pembe	Ros
Row	Sıra, -Gürültü	Rov
Row -(v)	Kürek Çekmek	Rov
Royal	Krali̇yete -Ai̇t	Royıl
Rub	Sürmek, -Sürtmek, Ovmak	Rab
Rubbish	Çöp, -Saçma	Rabbiş
Rule	Yönetmek, -Kural	Rul
Ruler	Kural -Koyucu, Yöneti̇ci̇, Cetvel	Rulır
Run	Koşmak, -Çalıştırmak (Fabrika, Şirket vs.)	Ran
Runaway	Kaçak, -Kontrol Dışı (Runaway Increase In Prices)	Ranavey
Rush	Çabuk -Davranmak	Raş
Railing	Bahce -Parmaklıkları	Reyling
Ram	Koç, -Vurmak, Toslamak	Rem
Rash	Hızlı, -Acele, Çi̇l	Reş
Rear	Yeti̇şti̇rmek -(İnsan, Kuş, Bitki), Arka, Arka Taraf	Riır
Recession	Duraklama, -Geri̇leme, Ekonomi̇de Durgunluk	Riseşın
Recipe	Yemek -Tari̇fi̇	Resipi
Reconcile	Uzlaşma, -Anlaşma Yapmak	Rekonsayıl
Referendum	Referandum, -Halk Oylamasi	Referandım
Refreshments	Sandvi̇ç, -Tost, İçecek (Gar, İstasyon Gibi Yerlerde)	Rifreşmınts
Register	Kütük, -Si̇ci̇l, Kayıt, (Register Post: Taahhütlü Mektup)	Recistır
Regulation	Yönetmeli̇k, -Yasa	Reguleyşın
Relate	Anlatmak, -Nakletmek (Formal Tell)	Rileyt
Relevant	Bağıntılı, -Konuyla İli̇şki̇li̇	Relıvınt
Resent	Hoşlanmamak, -Kızmak	Risent
Reside	Oturmak, -İkamet Etmek	Risayd
Resident	Bölgede -Yaşayan, Oturan	Residınt
Respond	Cevap -Vermek	Rispond
Restore	Geri̇ -Verme, Yeni̇den Kullanıma Açma	Ristor
Reverse	Ters, -Arka	Rivers
Revise	Tekrar -Gözden Geçi̇ri̇p Düzeltmek	Rİvays
Rubber	Silgi, -lastik	Rabbır
Rug	Küçük -Halı, Ki̇li̇m	Rag
Ruin	Harabe, -Yıkım Mahvetme	Ruin
Sail	Yelken -Açmak	Seyıl
Scientist	Bilim -Adamı	Saytinst
Serve	Hizmet -Etmek	Sörv
She	O -(Kadın)	Şi
Should	Zorunda -Olmak	Süld
Since	-den -Beri	Sins
Sing	Şarkı -Söylemek	Sing
Sister	Kız -Kardeş	Sistır
Something	Bir -Şey	Samting
Son	Erkek -Çocuk	San
Space	Uzay, -Boşluk	Sıpeys
Stand	Ayakta -Durmak	Sıtend
Stood	Ayakta -Durmuş	Sıtuud
Suffix	Son -Ek	Safiks
Suggested	Tavsiye -Edilmiş	Sacestıd
Suppose	Tahmin -Yürütmek	Sıppos
Sweet	Tatlı, -Sevimli	Sıviit
Syllabus	Ders -Programı	Sillabus
Take -(v)	Almak	Teyk
Test -(v)	Denemek	Test
They	Onlar -(İnsan)	Dey
Though	-e -Rağmen	Dou
Took	Almak -(Geçmiş Zaman)	Tuuk
Toward	-e -Doğru	Tıvord
Uncle	Dayı, -Amca	Ankıl
Under	Altta, -Alta	Andır
Underclothes	İç -Çamaşırı	Andırkılotes
Uniform	Üni̇forma, -Tek Ti̇p	Yuniform
Union	Sendi̇ka, -Bi̇rleşme	Yuniyon
Universe	Kainat, -alem	Yunivers
Unlikely	Az -İhti̇malle	Anlaykli
Unlock	Ki̇li̇di̇ -Açmak	Anlok
Until	Kadar -(Belli Bir Zamana Kadar)	Antil
Upstairs	Üst -Kat, Yukarısı	Apsıteirs
Up -to date	Bugüne Kadar	Ap to deyt
Upward	Yukarıya -Doğru	Apvard
Urge	Dürtme, -(Israr Ederek ) Yaptırma ,Zorlamak	Örc
Use	Kullanım/ -Fonksi̇yon	Yus
Use -(v)	Kullanmak	Yus
Undergo	Katlanmak, -Çekmek, Bi̇r Olayın Olması	Andırgo
Underline	Yazının, -Keli̇meni̇n Altını Çi̇zmek	Andırlayn
Unfair	Adi̇l -Olmayan	Anfeyır
Unit	Bi̇ri̇m, -1-9 Arasındaki̇ Sayılar	Yunit
Up -To You	Sana Kalmış, Nasıl İstersen (It is Up To You)	Ap To Yu
Upside-down	Tepetaklak, -Ters Dönmek	Apsayd-davn
Urban	Şehi̇rsel, -Kente Ai̇t (Urban Life : Şehirsel Yaşam)	Arbın
Vain	Gereksi̇z, -Boşuna	Veyn
Variety	Fark, -Çeşi̇tli̇li̇k, Çeşi̇t	Varayeti
Various	Deği̇şi̇k, -Çeşi̇tli̇	Veriyous
Vehicle	Taşıt -Aracı (Kamyon, Tır , Araba V.B )	Viyakıl
Very	Çok, -Tam	Veri
Veto	Veto, -Veto Etmek	Vito
Victim	Kurban, -Kazazede	Viktım
Victory	Utku, -Zafer, Yengi̇	Viktori
View	Görünüm, -Manzara	Viyüv
Violent	Kaba -Kuvvet Kullanan, Şi̇ddet	Vaylınt
Vision	Görüş, -İmge	Vijın
Visit	Zi̇yaret -Etmek	Visit
Visitor	Zi̇yaretçi̇, -Konuk	Visitır
Vocabulary	Keli̇me -Dağarcığı	Vokabulari
Vote	Oy -Vermek, Oy	Vot
Voyage	Deni̇z -Yolculuğu	Voyec
Vulgar	Kaba, -İlkel	Valgır
Vacuum -Cleaner	Elektri̇k Süpürgesi̇	Vakuum Kılinır
Vicious -Circle	Kısır Döngü	Vişıs Saykıl
Victimize	Kurban -Etmek (Grubun Suçunu Bir Kişiye Yüklemek.)	Viktimayz
Vital	Çok -Önemli̇	Vaytıl
Vowel	Sesli̇ -Harf (A,E,I) Gibi	Vavıl
Vulnerable	Zayıf, -Korumasız	Valnırıbıl
Was	Olmak -(Geçmiş)	Vas
Went	Gitmek -(Geçmiş)	Vent
Were	Olmak -(Çoğul, Geçmiş)	Vör
When?	Ne -Zaman?	Ven
Wife	Eş -(Kadın)	Vayf
Wonder	Merak -Etmek	Vandır
Xenophobia	Yabancı -Düşmanlığı	Zenofobia
Zip -Code	Posta Kodu	Zip Kod
Zodiac	Zodyak, -burçlar	Zodiyak
Zoo	Hayvanat -Bahçesi	Zuu
Age	Yaş, -Çağ	Eyc
Ask	Sormak, -İstemek	Esk
Awe	Huşu, -Korku	Av
Bin	Çöp -kutusu	Bin
Boy	Erkek -çocuk	Boy
Buy	Satın -almak	Bay
Fix	Tamir -etmek	Fiks
Gym	Spor -salonu	Cim
Him	Onu -(Erkek)	Him
His	Onun -(Erkek)	His
Ill	Hasta -olmak	İl
Let	İzin -vermek	Let
Lie	Yalan -söylemek	Lay
Nod	Başını -sallamak	Nad
Old	Yaşlı, -Eski	Old
Owe	Borçlu -olmak	Ov
Pen	Dolma -kalem	Pen
Pet	Evcil -hayvan	Pet
Pin	Toplu -iğne	Pin
She	O -(Kadın)	Şi
Son	Erkek -evlat	San
Toe	Ayak -parmağı	To
Zoo	Hayvanat -bahçesi	Zuu
Best	En -iyi	Best
Both	İkisi -de	Both
Cook	Yemek -pişirmek	Kuuk
Deny	İnkar -etmek	Dinay
Each	Her -biri	İç
Fall -(v)	Düşünmek	Foll
Flat	Apartman -dairesi	Fılet
Girl	Kız -çocuk	Görl
Hate	Nefret -etmek	Heyt
Have	Sahip -olmak	Hev
Help	Yardım -etmek	Help
Host	Ev -sahibi	Host
Hurt	Can -yakmak	Hört
Kick	Tekme -atmak	Kik
Lead	Öncülük -etmek	Liid
Like -(v)	Sevmek	Layk
Look -(v)	Bakmak	Lak
Love	Aşk, -Sevgi	Lav
Mean	Anlamına -gelmek	Miin
Mood	Ruh -hali	Muud
Move	Hareket -etmek	Muuv
Need	İhtiyacı -olmak	Niid
Once	Bir -zamanlar	Vans
Palm	Avuç -içi	Palm
Pick	Toplamak, -Seçmek	Pik
Play -(v)	Oynamak	Pıley
Rent -(v)	Kiralamak	Rent
Save -(v)	Kaydetmek	Seyv
Suit	Takım -elbise	Suit
Till	-e -kadar	Till
Tiny	Çok -küçük	Teyni
Vary	Farklılık -göstermek	Veyri
Warm	Ilık, -sıcak	Varm
When	Ne -zaman	Ven
Wife	Eş -(Kadın)	Vayf
Admit	İtiraf -etmek	Edmit
Adopt	Evlat -edinmek, benimsemek	Edopt
Allow	İzin -vermek	Alov
Apply	Başvurmak, -uygulamak	Epılay
Alive	Hayatta, -Canlı	Elayv
Build	Kurmak, -İnşa etmek	Build
Claim	İstek, -İddia	Kıleym
Cross	Çarpı, -haç	Kıros
Cause -(v)	Sebep olmak	Kaus
Check -(v)	Kontrol etmek	Çek
Claim -(v)	İddia etmek, talep etmek	Kıleym
Clean -(v)	Temizlemek	Kıliin
Clear	Açık, -belirgin	Kıliir
Close -(v)	Kapatmak	Kılos
Doubt -(v)	Şüphe etmek	Daubt
Dream	Hayal, -rüya	Dırim
Earth	Toprak, -Dünya	Örth
Event	Olay, -etkinlik	İvent
Enjoy	Tadını -çıkarmak	İncoy
Exist	Var -olmak	Egzist
Fight -(v)	Dövüşmek	Fayt
Force -(v)	Zorlamak	Fors
Fault	Suç, -hata	Folt
Guess -(v)	Tahmin etmek	Gess
Judge	Hakim, -Yargıç	Ca
Judge -(v)	Yargılamak	Cac
Laugh -(v)	Gülmek	Lauf
Limit -(v)	Sınırlamak	Limit
Lunch	Öğle -yemeği	Lanç
Light	Açık, -hafif	Layt
Minor	Reşit -olmayan kimse	Maynır
March	Mart -(Ay)	Març
Noise	Gürültü, -Ses	Noiyz
Order	Düzen, -Sıra, Sipariş	Ordır
Offer	Teklif -etmek	Ofır
Order	Sipariş -etmek	Ordır
Phase	Evre, -aşama	Feys
Place -(v)	Yerleştirmek	Pleys
Press -(v)	Basmak	Pıres
Plain	Yalın, -süssüz	Pıleyn
Right	Haklı, -sağ	Rayt
Route	Rota, -güzergah	Rout
Raise -(v)	Yetiştirmek, yükseltmek, büyütmek	Reyz
Reach -(v)	Ulaşmak	Riiç
Relax -(v)	Rahatlamak	Rilaks
Serve	Hizmet -etmek	Serv
Share -(v)	Paylaşmak	Şeyr
Sleep -(v)	Uyumak	Sıliip
Start -(v)	Başlamak	Sıtart
Space	Boşluk, -Uzay	Sıpeys
State	Devlet, -Eyalet, Durum	Sıteyt
Still	Hala, -yine de, ama	Sıtil
Tight	Dar, -sıkı	Tayt
Trust -(v)	Güvenmek	Tırast
Visit -(v)	Ziyaret etmek	Visit
Uncle	Amca, -dayı	Ankıl
Waste	İsraf, -atık	Veyst
Watch -(v)	İzlemek	Vaç
Worry	Endişe -etmek	Vorri
